RaceDate,RaceTime,CourseName,RaceTitle,HorseName,MasterScore,RankWorst,IsLayTarget,DSLR,StrideDecay,BadDiscipline,IsLeader,Reasons,ScannedAt
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Tullabrack Lad,0,13,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.983000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Zolpharine,0,14,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.983000
2026-08-21,19:27,Salisbury,19:27 SALISBURY,That's All Folks,-2,1,True,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:27.987000
2026-08-21,19:27,Salisbury,19:27 SALISBURY,Bintward,0,2,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.987000
2026-08-21,19:27,Salisbury,19:27 SALISBURY,Golden Island,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.987000
2026-08-21,19:27,Salisbury,19:27 SALISBURY,Herstmonceux,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.987000
2026-08-21,19:27,Salisbury,19:27 SALISBURY,Stopherandgo,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.987000
2026-08-21,16:51,Newmarket,16:51 NEWMARKET,Allegrino,0,1,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.987000
2026-08-21,16:51,Newmarket,16:51 NEWMARKET,Bami,0,2,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.990000
2026-08-21,16:51,Newmarket,16:51 NEWMARKET,Ghisa,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.990000
2026-08-21,16:51,Newmarket,16:51 NEWMARKET,Hilltop,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.990000
2026-08-21,16:51,Newmarket,16:51 NEWMARKET,Ironist,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.990000
2026-08-21,16:51,Newmarket,16:51 NEWMARKET,Miss Gallant,0,6,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.990000
2026-08-21,16:51,Newmarket,16:51 NEWMARKET,Rogue Citation,0,7,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.990000
2026-08-21,16:51,Newmarket,16:51 NEWMARKET,Splash,0,8,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.990000
2026-08-21,16:51,Newmarket,16:51 NEWMARKET,Too Too Divine,0,9,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.990000
2026-08-21,14:10,Ffos Las,14:10 FFOS LAS,Sixtygeesbaby,-2,1,True,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:27.993000
2026-08-21,14:10,Ffos Las,14:10 FFOS LAS,Alkuwarrior,0,2,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.997000
2026-08-21,14:10,Ffos Las,14:10 FFOS LAS,Army Bugler,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.997000
2026-08-21,14:10,Ffos Las,14:10 FFOS LAS,Liosa,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28
2026-08-21,14:10,Ffos Las,14:10 FFOS LAS,Pull The Rug,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.003000
2026-08-21,14:10,Ffos Las,14:10 FFOS LAS,Safari Dream,0,6,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.003000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Prophet Squeeze,-2,1,True,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:28.007000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Typeface,-2,2,True,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:28.007000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,A Rose Adaay,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.010000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Charencey,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.010000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,City Escape,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.010000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Elora Prince,0,6,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.010000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Gert Lush,0,7,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.010000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,King of The Dance,0,8,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.010000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Lapidarist,0,9,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.010000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Racing Demon,0,10,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.013000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Strong Man Tom,0,11,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.013000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Darvel,-2,1,True,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:28.017000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Palazzo Persico,-2,2,True,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:28.020000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Prince Rasam,-2,3,False,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:28.023000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Prodigal Son,-2,4,False,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:28.023000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Kimeko Glory,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.023000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Marsh Benham,0,6,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.023000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Optimatum,0,7,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.023000
