RaceDate,RaceTime,CourseName,RaceTitle,HorseName,B2LScore,RankBest,IsB2LTarget,Tier,DSLR,StrideDecay,BadDiscipline,GoodSpeed,IsLeader,SpeedWords,BetModes,Signals,ScannedAt
2026-08-21,16:45,York,16:45 YORK,Lancaster Tower,2,6,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.620000
2026-08-21,16:45,York,16:45 YORK,Launch Sequence,2,7,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.620000
2026-08-21,16:45,York,16:45 YORK,Magwitch,2,8,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.623000
2026-08-21,16:45,York,16:45 YORK,Master Celeritas,2,9,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.627000
2026-08-21,16:45,York,16:45 YORK,My Remas,2,10,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.627000
2026-08-21,16:45,York,16:45 YORK,Pete's Angel,2,11,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.627000
2026-08-21,16:45,York,16:45 YORK,Rossbeigh,2,12,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.630000
2026-08-21,16:45,York,16:45 YORK,Sole Ambition,2,13,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.630000
2026-08-21,16:45,York,16:45 YORK,Speyside,2,14,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.630000
2026-08-21,16:45,York,16:45 YORK,The Thinking Man,2,15,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.630000
2026-08-21,18:20,Killarney,18:20 KILLARNEY,Carolina Jetstream,4,1,True,Tier 1 EW,99,0.0,False,True,False,led,"EW,B2L,WIN",Speed(led),2026-08-21 11:25:53.633000
2026-08-21,18:20,Killarney,18:20 KILLARNEY,Cristal Clere,4,2,True,Tier 1 EW,99,0.0,False,True,False,"kept on, kept on well","EW,B2L,WIN","Speed(kept on, kept on well)",2026-08-21 11:25:53.637000
2026-08-21,18:20,Killarney,18:20 KILLARNEY,Hardy Warrior,4,3,True,Tier 2 B2L,99,0.0,False,True,False,kept on,"EW,B2L-Consider",Speed(kept on),2026-08-21 11:25:53.640000
2026-08-21,18:20,Killarney,18:20 KILLARNEY,Jagged Edge,4,4,False,Pass,99,0.0,False,True,False,kept on,,Speed(kept on),2026-08-21 11:25:53.643000
2026-08-21,18:20,Killarney,18:20 KILLARNEY,Moonlit Sun,4,5,False,Pass,99,0.0,False,True,False,"kept on, pushed along",,"Speed(kept on, pushed along)",2026-08-21 11:25:53.643000
2026-08-21,18:20,Killarney,18:20 KILLARNEY,Rion Rubette,4,6,False,Pass,99,0.0,False,True,False,pushed along,,Speed(pushed along),2026-08-21 11:25:53.643000
2026-08-21,18:20,Killarney,18:20 KILLARNEY,Subsonic,4,7,False,Pass,99,0.0,False,True,False,"kept on, pushed along",,"Speed(kept on, pushed along)",2026-08-21 11:25:53.647000
2026-08-21,18:20,Killarney,18:20 KILLARNEY,Quebec,2,8,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.650000
2026-08-21,18:20,Killarney,18:20 KILLARNEY,Syzygy,2,9,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.650000
2026-08-21,18:20,Killarney,18:20 KILLARNEY,Wearing Stars,2,10,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.650000
2026-08-21,18:20,Killarney,18:20 KILLARNEY,East Hampton,-2,11,False,Pass,99,0.0,True,False,False,,,Discipline,2026-08-21 11:25:53.650000
2026-08-21,17:12,Killarney,17:12 KILLARNEY,Belicoso,4,1,True,Tier 1 EW,99,0.0,False,True,False,"chased leader, pushed along","EW,B2L,WIN","Speed(chased leader, pushed along)",2026-08-21 11:25:53.653000
2026-08-21,17:12,Killarney,17:12 KILLARNEY,Seaxburh,4,2,True,Tier 1 EW,99,0.0,False,True,False,"kept on, pushed along","EW,B2L,WIN","Speed(kept on, pushed along)",2026-08-21 11:25:53.657000
2026-08-21,17:12,Killarney,17:12 KILLARNEY,Elyatta,2,3,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.657000
2026-08-21,17:12,Killarney,17:12 KILLARNEY,Fine Line,2,4,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.657000
2026-08-21,17:12,Killarney,17:12 KILLARNEY,Maggie Walker,2,5,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.660000
2026-08-21,17:12,Killarney,17:12 KILLARNEY,Margot Mae,2,6,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.660000
2026-08-21,17:12,Killarney,17:12 KILLARNEY,Old Joanie,2,7,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.660000
